msg_size time time_norm
16000 0.110000 0.000055
16100 0.110000 0.000055
16200 0.100000 0.000050
16300 0.110000 0.000055
16400 0.100000 0.000050
16500 0.110000 0.000055
16600 0.110000 0.000055
16700 0.100000 0.000050
16800 0.110000 0.000055
16900 0.110000 0.000055
17000 0.110000 0.000055
17100 0.120000 0.000060
17200 0.110000 0.000055
17300 0.110000 0.000055
17400 0.120000 0.000060
17500 0.110000 0.000055
17600 0.110000 0.000055
17700 0.120000 0.000060
17800 0.120000 0.000060
17900 0.110000 0.000055
18000 0.120000 0.000060
18100 0.120000 0.000060
18200 0.110000 0.000055
18300 0.120000 0.000060
18400 0.120000 0.000060
18500 0.120000 0.000060
18600 0.120000 0.000060
18700 0.120000 0.000060
18800 0.110000 0.000055
18900 0.120000 0.000060
19000 0.130000 0.000065
19100 0.120000 0.000060
19200 0.120000 0.000060
19300 0.120000 0.000060
19400 0.120000 0.000060
19500 0.120000 0.000060
19600 0.120000 0.000060
19700 0.110000 0.000055
19800 0.130000 0.000065
19900 0.120000 0.000060
20000 0.130000 0.000065
20100 0.130000 0.000065
20200 0.130000 0.000065
20300 0.120000 0.000060
20400 0.130000 0.000065
20500 0.130000 0.000065
20600 0.130000 0.000065
20700 0.130000 0.000065
20800 0.130000 0.000065
20900 0.130000 0.000065
21000 0.120000 0.000060
21100 0.140000 0.000070
21200 0.140000 0.000070
21300 0.130000 0.000065
21400 0.140000 0.000070
21500 0.140000 0.000070
21600 0.140000 0.000070
21700 0.140000 0.000070
21800 0.140000 0.000070
21900 0.130000 0.000065
22000 0.140000 0.000070
22100 0.140000 0.000070
22200 0.150000 0.000075
22300 0.130000 0.000065
22400 0.140000 0.000070
22500 0.140000 0.000070
22600 0.130000 0.000065
22700 0.140000 0.000070
22800 0.150000 0.000075
22900 0.140000 0.000070
23000 0.140000 0.000070
23100 0.140000 0.000070
23200 0.130000 0.000065
23300 0.140000 0.000070
23400 0.140000 0.000070
23500 0.140000 0.000070
23600 0.140000 0.000070
23700 0.150000 0.000075
23800 0.150000 0.000075
23900 0.140000 0.000070
24000 0.150000 0.000075
24100 0.150000 0.000075
