msg_size time time_norm
100000 0.070000 0.000350
200000 0.120000 0.000600
300000 0.190000 0.000950
400000 0.250000 0.001250
500000 0.330000 0.001650
600000 0.410000 0.002050
700000 0.530000 0.002650
800000 0.650000 0.003250
900000 0.680000 0.003400
1000000 0.770000 0.003850
1100000 0.940000 0.004700
1200000 1.030000 0.005150
1300000 1.130000 0.005650
1400000 1.220000 0.006100
1500000 1.300000 0.006500
1600000 1.400000 0.007000
1700000 1.480000 0.007400
1800000 1.570000 0.007850
1900000 1.640000 0.008200
2000000 1.740000 0.008700
2100000 1.830000 0.009150
2200000 1.910000 0.009550
2300000 1.970000 0.009850
2400000 2.070000 0.010350
2500000 2.160000 0.010800
2600000 2.280000 0.011400
2700000 2.330000 0.011650
2800000 2.450000 0.012250
2900000 2.500000 0.012500
3000000 2.610000 0.013050
3100000 2.710000 0.013550
3200000 2.780000 0.013900
3300000 2.850000 0.014250
3400000 2.880000 0.014400
3500000 2.990000 0.014950
3600000 3.080000 0.015400
3700000 3.180000 0.015900
3800000 3.330000 0.016650
3900000 3.330000 0.016650
4000000 3.280000 0.016400
4100000 3.470000 0.017350
4200000 3.570000 0.017850
4300000 3.650000 0.018250
4400000 3.820000 0.019100
4500000 3.830000 0.019150
4600000 3.920000 0.019600
4700000 4.000000 0.020000
4800000 4.070000 0.020350
4900000 4.190000 0.020950
5000000 4.320000 0.021600
5100000 4.350000 0.021750
5200000 4.470000 0.022350
5300000 4.610000 0.023050
5400000 4.640000 0.023200
5500000 4.680000 0.023400
5600000 4.870000 0.024350
5700000 4.900000 0.024500
5800000 4.980000 0.024900
5900000 5.180000 0.025900
6000000 5.080000 0.025400
6100000 5.230000 0.026150
6200000 5.300000 0.026500
6300000 5.460000 0.027300
6400000 5.500000 0.027500
6500000 5.490000 0.027450
6600000 5.760000 0.028800
6700000 5.870000 0.029350
6800000 5.890000 0.029450
6900000 5.930000 0.029650
7000000 5.930000 0.029650
7100000 6.020000 0.030100
7200000 6.200000 0.031000
7300000 6.190000 0.030950
7400000 6.220000 0.031100
7500000 6.460000 0.032300
7600000 6.530000 0.032650
7700000 6.530000 0.032650
7800000 6.640000 0.033200
7900000 6.810000 0.034050
8000000 6.870000 0.034350
8100000 6.890000 0.034450
8200000 6.990000 0.034950
8300000 7.060000 0.035300
8400000 7.080000 0.035400
8500000 7.320000 0.036600
8600000 7.370000 0.036850
8700000 7.440000 0.037200
8800000 7.570000 0.037850
8900000 7.590000 0.037950
9000000 7.740000 0.038700
9100000 7.760000 0.038800
9200000 7.740000 0.038700
9300000 7.980000 0.039900
9400000 7.920000 0.039600
9500000 8.040000 0.040200
9600000 8.140000 0.040700
9700000 8.170000 0.040850
9800000 8.350000 0.041750
9900000 8.350000 0.041750
