msg_size time time_norm
1 0.030000 0.000002
2 0.030000 0.000002
3 0.030000 0.000002
4 0.030000 0.000002
5 0.030000 0.000002
6 0.030000 0.000002
7 0.030000 0.000002
8 0.030000 0.000002
9 0.030000 0.000002
10 0.030000 0.000002
11 0.030000 0.000002
12 0.040000 0.000002
13 0.030000 0.000002
14 0.030000 0.000002
15 0.030000 0.000002
16 0.030000 0.000002
17 0.030000 0.000002
18 0.030000 0.000002
19 0.030000 0.000002
20 0.030000 0.000002
21 0.040000 0.000002
22 0.030000 0.000002
23 0.030000 0.000002
24 0.030000 0.000002
25 0.030000 0.000002
26 0.030000 0.000002
27 0.030000 0.000002
28 0.030000 0.000002
29 0.030000 0.000002
30 0.030000 0.000002
31 0.030000 0.000002
32 0.030000 0.000002
33 0.030000 0.000002
34 0.030000 0.000002
35 0.030000 0.000002
36 0.030000 0.000002
37 0.030000 0.000002
38 0.030000 0.000002
39 0.040000 0.000002
40 0.030000 0.000002
41 0.030000 0.000002
42 0.030000 0.000002
43 0.030000 0.000002
44 0.030000 0.000002
45 0.030000 0.000002
46 0.040000 0.000002
47 0.030000 0.000002
48 0.030000 0.000002
49 0.030000 0.000002
50 0.030000 0.000002
51 0.030000 0.000002
52 0.030000 0.000002
53 0.030000 0.000002
54 0.030000 0.000002
55 0.030000 0.000002
56 0.040000 0.000002
57 0.030000 0.000002
58 0.030000 0.000002
59 0.030000 0.000002
60 0.030000 0.000002
61 0.030000 0.000002
62 0.030000 0.000002
63 0.030000 0.000002
64 0.030000 0.000002
65 0.030000 0.000002
66 0.030000 0.000002
67 0.030000 0.000002
68 0.030000 0.000002
69 0.030000 0.000002
70 0.040000 0.000002
71 0.030000 0.000002
72 0.030000 0.000002
73 0.030000 0.000002
74 0.030000 0.000002
75 0.030000 0.000002
76 0.040000 0.000002
77 0.030000 0.000002
78 0.030000 0.000002
79 0.030000 0.000002
80 0.040000 0.000002
81 0.030000 0.000002
82 0.030000 0.000002
83 0.030000 0.000002
84 0.040000 0.000002
85 0.030000 0.000002
86 0.030000 0.000002
87 0.030000 0.000002
88 0.040000 0.000002
89 0.030000 0.000002
90 0.030000 0.000002
91 0.040000 0.000002
92 0.030000 0.000002
93 0.040000 0.000002
94 0.040000 0.000002
95 0.030000 0.000002
96 0.040000 0.000002
97 0.030000 0.000002
98 0.040000 0.000002
99 0.030000 0.000002
2000 0.020000 0.000010
3000 0.030000 0.000015
4000 0.040000 0.000020
5000 0.040000 0.000020
6000 0.050000 0.000025
7000 0.050000 0.000025
8000 0.060000 0.000030
9000 0.070000 0.000035
10000 0.070000 0.000035
11000 0.080000 0.000040
12000 0.080000 0.000040
13000 0.090000 0.000045
14000 0.090000 0.000045
15000 0.100000 0.000050
16000 0.100000 0.000050
17000 0.110000 0.000055
18000 0.110000 0.000055
19000 0.120000 0.000060
20000 0.120000 0.000060
21000 0.130000 0.000065
22000 0.140000 0.000070
23000 0.140000 0.000070
24000 0.140000 0.000070
25000 0.150000 0.000075
26000 0.160000 0.000080
27000 0.160000 0.000080
28000 0.160000 0.000080
29000 0.170000 0.000085
30000 0.180000 0.000090
31000 0.180000 0.000090
32000 0.190000 0.000095
33000 0.190000 0.000095
34000 0.200000 0.000100
35000 0.200000 0.000100
36000 0.210000 0.000105
37000 0.210000 0.000105
38000 0.220000 0.000110
39000 0.230000 0.000115
40000 0.230000 0.000115
41000 0.230000 0.000115
42000 0.240000 0.000120
43000 0.240000 0.000120
44000 0.250000 0.000125
45000 0.260000 0.000130
46000 0.260000 0.000130
47000 0.270000 0.000135
48000 0.270000 0.000135
49000 0.270000 0.000135
50000 0.290000 0.000145
51000 0.280000 0.000140
52000 0.300000 0.000150
53000 0.290000 0.000145
54000 0.310000 0.000155
55000 0.310000 0.000155
56000 0.310000 0.000155
57000 0.330000 0.000165
58000 0.330000 0.000165
59000 0.330000 0.000165
60000 0.330000 0.000165
61000 0.340000 0.000170
62000 0.340000 0.000170
63000 0.360000 0.000180
64000 0.350000 0.000175
65000 0.360000 0.000180
66000 0.370000 0.000185
67000 0.380000 0.000190
68000 0.380000 0.000190
69000 0.380000 0.000190
70000 0.390000 0.000195
71000 0.400000 0.000200
72000 0.400000 0.000200
73000 0.400000 0.000200
74000 0.410000 0.000205
75000 0.420000 0.000210
76000 0.420000 0.000210
77000 0.420000 0.000210
78000 0.430000 0.000215
79000 0.440000 0.000220
80000 0.440000 0.000220
81000 0.440000 0.000220
82000 0.450000 0.000225
83000 0.460000 0.000230
84000 0.460000 0.000230
85000 0.470000 0.000235
86000 0.470000 0.000235
87000 0.480000 0.000240
88000 0.480000 0.000240
89000 0.490000 0.000245
90000 0.490000 0.000245
91000 0.500000 0.000250
92000 0.500000 0.000250
93000 0.510000 0.000255
94000 0.510000 0.000255
95000 0.520000 0.000260
96000 0.530000 0.000265
97000 0.530000 0.000265
98000 0.540000 0.000270
99000 0.550000 0.000275
200000 0.120000 0.000600
300000 0.190000 0.000950
400000 0.260000 0.001300
500000 0.310000 0.001550
600000 0.430000 0.002150
700000 0.530000 0.002650
800000 0.620000 0.003100
900000 0.710000 0.003550
1000000 0.770000 0.003850
1100000 0.990000 0.004950
1200000 1.080000 0.005400
1300000 1.150000 0.005750
1400000 1.220000 0.006100
1500000 1.350000 0.006750
1600000 1.460000 0.007300
1700000 1.530000 0.007650
1800000 1.630000 0.008150
1900000 1.480000 0.007400
2000000 1.700000 0.008500
2100000 1.630000 0.008150
2200000 1.980000 0.009900
2300000 2.060000 0.010300
2400000 2.170000 0.010850
2500000 2.240000 0.011200
2600000 2.330000 0.011650
2700000 2.450000 0.012250
2800000 2.560000 0.012800
2900000 2.640000 0.013200
3000000 2.690000 0.013450
3100000 2.790000 0.013950
3200000 2.910000 0.014550
3300000 3.130000 0.015650
3400000 3.050000 0.015250
3500000 3.170000 0.015850
3600000 3.630000 0.018150
3700000 2.960000 0.014800
3800000 3.430000 0.017150
3900000 3.460000 0.017300
4000000 3.540000 0.017700
4100000 3.670000 0.018350
4200000 3.810000 0.019050
4300000 3.870000 0.019350
4400000 3.970000 0.019850
4500000 3.510000 0.017550
4600000 4.140000 0.020700
4700000 3.630000 0.018150
4800000 4.280000 0.021400
4900000 4.420000 0.022100
5000000 4.480000 0.022400
5100000 4.720000 0.023600
5200000 4.630000 0.023150
5300000 4.620000 0.023100
5400000 4.700000 0.023500
5500000 4.800000 0.024000
5600000 4.870000 0.024350
5700000 4.950000 0.024750
5800000 5.050000 0.025250
5900000 5.130000 0.025650
