msg_size time time_norm
100 0.000000 0.000000
2000 0.020000 0.000010
3000 0.030000 0.000015
4000 0.040000 0.000020
5000 0.040000 0.000020
6000 0.050000 0.000025
7000 0.050000 0.000025
8000 0.060000 0.000030
9000 0.070000 0.000035
10000 0.070000 0.000035
11000 0.080000 0.000040
12000 0.080000 0.000040
13000 0.090000 0.000045
14000 0.090000 0.000045
15000 0.100000 0.000050
16000 0.100000 0.000050
17000 0.110000 0.000055
18000 0.110000 0.000055
19000 0.120000 0.000060
20000 0.120000 0.000060
21000 0.130000 0.000065
22000 0.140000 0.000070
23000 0.140000 0.000070
24000 0.140000 0.000070
25000 0.150000 0.000075
26000 0.160000 0.000080
27000 0.160000 0.000080
28000 0.160000 0.000080
29000 0.170000 0.000085
30000 0.180000 0.000090
31000 0.180000 0.000090
32000 0.190000 0.000095
33000 0.190000 0.000095
34000 0.200000 0.000100
35000 0.200000 0.000100
36000 0.210000 0.000105
37000 0.210000 0.000105
38000 0.220000 0.000110
39000 0.230000 0.000115
40000 0.230000 0.000115
41000 0.230000 0.000115
42000 0.240000 0.000120
43000 0.240000 0.000120
44000 0.250000 0.000125
45000 0.260000 0.000130
46000 0.260000 0.000130
47000 0.270000 0.000135
48000 0.270000 0.000135
49000 0.270000 0.000135
50000 0.290000 0.000145
51000 0.280000 0.000140
52000 0.300000 0.000150
53000 0.290000 0.000145
54000 0.310000 0.000155
55000 0.310000 0.000155
56000 0.310000 0.000155
57000 0.330000 0.000165
58000 0.330000 0.000165
59000 0.330000 0.000165
60000 0.330000 0.000165
61000 0.340000 0.000170
62000 0.340000 0.000170
63000 0.360000 0.000180
64000 0.350000 0.000175
65000 0.360000 0.000180
66000 0.370000 0.000185
67000 0.380000 0.000190
68000 0.380000 0.000190
69000 0.380000 0.000190
70000 0.390000 0.000195
71000 0.400000 0.000200
72000 0.400000 0.000200
73000 0.400000 0.000200
74000 0.410000 0.000205
75000 0.420000 0.000210
76000 0.420000 0.000210
77000 0.420000 0.000210
78000 0.430000 0.000215
79000 0.440000 0.000220
80000 0.440000 0.000220
81000 0.440000 0.000220
82000 0.450000 0.000225
83000 0.460000 0.000230
84000 0.460000 0.000230
85000 0.470000 0.000235
86000 0.470000 0.000235
87000 0.480000 0.000240
88000 0.480000 0.000240
89000 0.490000 0.000245
90000 0.490000 0.000245
91000 0.500000 0.000250
92000 0.500000 0.000250
93000 0.510000 0.000255
94000 0.510000 0.000255
95000 0.520000 0.000260
96000 0.530000 0.000265
97000 0.530000 0.000265
98000 0.540000 0.000270
99000 0.550000 0.000275
